"zipcode","cab_type","part_of_week","count"
"11214","uber","Weekday",1058
"11214","uber","Weekend",652
"11215","green","Weekday",89699
"11215","green","Weekend",82817
"11215","uber","Weekday",25318
"11215","uber","Weekend",18175
"11216","green","Weekday",51712
"11216","green","Weekend",47953
"11216","uber","Weekday",10533
"11216","uber","Weekend",8525
"11217","green","Weekday",136807
"11217","green","Weekend",109364
"11217","uber","Weekday",21135
"11217","uber","Weekend",15596
"11218","green","Weekday",6366
"11218","green","Weekend",5427
"11218","uber","Weekday",4289
"11218","uber","Weekend",2781
"11219","green","Weekday",1395
"11219","green","Weekend",581
"11219","uber","Weekday",1171
"11219","uber","Weekend",508
"11220","green","Weekday",2323
"11220","green","Weekend",2009
"11220","uber","Weekday",2089
"11220","uber","Weekend",1241
"11221","green","Weekday",20441
"11221","green","Weekend",22678
"11221","uber","Weekday",10147
"11221","uber","Weekend",8585
"11222","green","Weekday",93857
"11222","green","Weekend",95596
"11222","uber","Weekday",25056
"11222","uber","Weekend",17078
"11223","green","Weekday",953
"11223","green","Weekend",558
"11223","uber","Weekday",1916
"11223","uber","Weekend",818
"11224","green","Weekday",7462
"11224","green","Weekend",3576
"11224","uber","Weekday",659
"11224","uber","Weekend",822
"11225","green","Weekday",16079
"11225","green","Weekend",14390
"11225","uber","Weekday",4840
"11225","uber","Weekend",4041
"11226","green","Weekday",12358
"11226","green","Weekend",10728
"11226","uber","Weekday",4068
"11226","uber","Weekend",3355
"11228","green","Weekday",275
"11228","green","Weekend",247
"11228","uber","Weekday",1027
"11228","uber","Weekend",922
"11229","green","Weekday",1100
"11229","green","Weekend",648
"11229","uber","Weekday",1211
"11229","uber","Weekend",634
"11230","green","Weekday",2935
"11230","green","Weekend",1670
"11230","uber","Weekday",2678
"11230","uber","Weekend",1093
"11231","green","Weekday",58051
"11231","green","Weekend",42637
"11231","uber","Weekday",17035
"11231","uber","Weekend",13876
"11232","green","Weekday",7104
"11232","green","Weekend",6784
"11232","uber","Weekday",3342
"11232","uber","Weekend",2616
"11233","green","Weekday",14154
"11233","green","Weekend",12326
"11233","uber","Weekday",3846
"11233","uber","Weekend",2965
"11234","green","Weekday",1326
"11234","green","Weekend",1086
"11234","uber","Weekday",1522
"11234","uber","Weekend",1275
"11235","green","Weekday",22096
"11235","green","Weekend",8480
"11235","uber","Weekday",1152
"11235","uber","Weekend",1124
"11236","green","Weekday",1372
"11236","green","Weekend",1038
"11236","uber","Weekday",1118
"11236","uber","Weekend",832
"11237","green","Weekday",10086
"11237","green","Weekend",17864
"11237","uber","Weekday",8388
"11237","uber","Weekend",8041
"11238","green","Weekday",70589
"11238","green","Weekend",70323
"11238","uber","Weekday",19636
"11238","uber","Weekend",15890
"11239","green","Weekday",344
"11239","green","Weekend",309
"11239","uber","Weekday",253
"11239","uber","Weekend",157
"11251","green","Weekday",2976
"11251","green","Weekend",1228
"11251","uber","Weekday",1675
"11251","uber","Weekend",345
"11354","green","Weekday",60279
"11354","green","Weekend",36927
"11354","uber","Weekday",1675
"11354","uber","Weekend",1206
"11355","green","Weekday",5464
"11355","green","Weekend",2396
"11355","uber","Weekday",1015
"11355","uber","Weekend",735
"11356","green","Weekday",576
"11356","green","Weekend",476
"11356","uber","Weekday",423
"11356","uber","Weekend",314
"11357","green","Weekday",245
"11357","green","Weekend",157
"11357","uber","Weekday",515
"11357","uber","Weekend",375
"11358","green","Weekday",384
"11358","green","Weekend",321
"11358","uber","Weekday",391
"11358","uber","Weekend",326
"11359","green","Weekday",2
"11359","green","Weekend",1
"11359","uber","Weekday",7
"11359","uber","Weekend",3
"11360","green","Weekday",238
"11360","green","Weekend",125
"11360","uber","Weekday",266
"11360","uber","Weekend",216
"11361","green","Weekday",957
"11361","green","Weekend",736
"11361","uber","Weekday",482
"11361","uber","Weekend",414
"11362","green","Weekday",66
"11362","green","Weekend",44
"11362","uber","Weekday",149
"11362","uber","Weekend",140
"11363","green","Weekday",21
"11363","green","Weekend",13
"11363","uber","Weekday",131
"11363","uber","Weekend",83
"11364","green","Weekday",224
"11364","green","Weekend",145
"11364","uber","Weekday",303
"11364","uber","Weekend",200
"11365","green","Weekday",759
"11365","green","Weekend",449
"11365","uber","Weekday",570
"11365","uber","Weekend",431
"11366","green","Weekday",658
"11366","green","Weekend",298
"11366","uber","Weekday",277
"11366","uber","Weekend",208
"11367","green","Weekday",3154
"11367","green","Weekend",1634
"11367","uber","Weekday",958
"11367","uber","Weekend",533
"11368","green","Weekday",48044
"11368","green","Weekend",40323
"11368","uber","Weekday",5024
"11368","uber","Weekend",3351
"11369","green","Weekday",12792
"11369","green","Weekend",10136
"11369","uber","Weekday",2664
"11369","uber","Weekend",1706
"11370","green","Weekday",16057
"11370","green","Weekend",11979
"11370","uber","Weekday",1188
"11370","uber","Weekend",902
"11371","green","Weekday",1711
"11371","green","Weekend",637
"11371","uber","Weekday",69426
"11371","uber","Weekend",23989
"11372","green","Weekday",118874
"11372","green","Weekend",89979
"11372","uber","Weekday",1467
"11372","uber","Weekend",1064
"11373","green","Weekday",179700
"11373","green","Weekend",123161
"11373","uber","Weekday",1793
"11373","uber","Weekend",1323
"11374","green","Weekday",33197
"11374","green","Weekend",22287
"11374","uber","Weekday",1379
"11374","uber","Weekend",1062
"11375","green","Weekday",109482
"11375","green","Weekend",64918
"11375","uber","Weekday",3703
"11375","uber","Weekend",2574
"11377","green","Weekday",128082
"11377","green","Weekend",98530
"11377","uber","Weekday",3627
"11377","uber","Weekend",2630
"11378","green","Weekday",3219
"11378","green","Weekend",3228
"11378","uber","Weekday",1406
"11378","uber","Weekend",1032
"11379","green","Weekday",1117
"11379","green","Weekend",1112
"11379","uber","Weekday",933
"11379","uber","Weekend",739
"11385","green","Weekday",3212
"11385","green","Weekend",4136
"11385","uber","Weekday",2721
"11385","uber","Weekend",2349
"11411","green","Weekday",66
"11411","green","Weekend",43
"11411","uber","Weekday",136
"11411","uber","Weekend",109
"11412","green","Weekday",195
"11412","green","Weekend",122
"11412","uber","Weekday",260
"11412","uber","Weekend",160
"11413","green","Weekday",195
"11413","green","Weekend",88
"11413","uber","Weekday",402
"11413","uber","Weekend",194
"11414","green","Weekday",211
"11414","green","Weekend",156
"11414","uber","Weekday",469
"11414","uber","Weekend",376
"11415","green","Weekday",37428
"11415","green","Weekend",15451
"11415","uber","Weekday",783
"11415","uber","Weekend",516
"11416","green","Weekday",462
"11416","green","Weekend",362
"11416","uber","Weekday",209
"11416","uber","Weekend",177
"11417","green","Weekday",792
"11417","green","Weekend",674
"11417","uber","Weekday",364
"11417","uber","Weekend",302
"11418","green","Weekday",3831
"11418","green","Weekend",2456
"11418","uber","Weekday",649
"11418","uber","Weekend",401
"11419","green","Weekday",1583
"11419","green","Weekend",1049
"11419","uber","Weekday",386
"11419","uber","Weekend",287
"11420","green","Weekday",3440
"11420","green","Weekend",2691
"11420","uber","Weekday",743
"11420","uber","Weekend",462
"11421","green","Weekday",1208
"11421","green","Weekend",1154
"11421","uber","Weekday",371
"11421","uber","Weekend",277
"11422","green","Weekday",116
"11422","green","Weekend",53
"11422","uber","Weekday",270
"11422","uber","Weekend",125
"11423","green","Weekday",585
"11423","green","Weekend",339
"11423","uber","Weekday",191
"11423","uber","Weekend",152
"11426","green","Weekday",186
"11426","green","Weekend",74
"11426","uber","Weekday",173
"11426","uber","Weekend",149
"11427","green","Weekday",239
"11427","green","Weekend",176
"11427","uber","Weekday",176
"11427","uber","Weekend",137
"11428","green","Weekday",234
"11428","green","Weekend",106
"11428","uber","Weekday",111
"11428","uber","Weekend",76
"11429","green","Weekday",217
"11429","green","Weekend",176
"11429","uber","Weekday",179
"11429","uber","Weekend",180
"11430","green","Weekday",2008
"11430","green","Weekend",1052
"11430","uber","Weekday",70540
"11430","uber","Weekend",34604
"11432","green","Weekday",8548
"11432","green","Weekend",3330
"11432","uber","Weekday",1587
"11432","uber","Weekend",1022
"11433","green","Weekday",2754
"11433","green","Weekend",1516
"11433","uber","Weekday",286
"11433","uber","Weekend",174
"11434","green","Weekday",694
"11434","green","Weekend",448
"11434","uber","Weekday",781
"11434","uber","Weekend",402
"11435","green","Weekday",44847
"11435","green","Weekend",27811
"11435","uber","Weekday",1310
"11435","uber","Weekend",883
"11436","green","Weekday",443
"11436","green","Weekend",239
"11436","uber","Weekday",911
"11436","uber","Weekend",382
"11451","green","Weekday",2
"11691","green","Weekday",86
"11691","green","Weekend",54
"11691","uber","Weekday",176
"11691","uber","Weekend",67
"11692","green","Weekday",72
"11692","green","Weekend",28
"11692","uber","Weekday",34
"11692","uber","Weekend",30
"11693","green","Weekday",34
"11693","green","Weekend",51
"11693","uber","Weekday",49
"11693","uber","Weekend",124
"11694","green","Weekday",70
"11694","green","Weekend",54
"11694","uber","Weekday",49
"11694","uber","Weekend",106
"11697","green","Weekday",7
"11697","green","Weekend",15
"11697","uber","Weekday",25
"11697","uber","Weekend",53
