"zipcode","cab_type","pickup_week","count"
"10013","uber","34",7510
"10013","green","35",4
"10013","uber","35",6726
"10013","green","36",4
"10013","uber","36",10252
"10013","green","37",1
"10013","uber","37",10971
"10013","green","38",1
"10013","uber","38",10434
"10013","green","39",2
"10013","uber","39",9915
"10013","uber","40",2749
"10014","green","14",2
"10014","uber","14",5906
"10014","uber","15",6024
"10014","green","16",12
"10014","uber","16",5854
"10014","green","17",5
"10014","uber","17",7146
"10014","green","18",3
"10014","uber","18",7803
"10014","green","19",5
"10014","uber","19",7101
"10014","green","20",2
"10014","uber","20",7278
"10014","green","21",4
"10014","uber","21",6539
"10014","green","22",1
"10014","uber","22",6365
"10014","green","23",4
"10014","uber","23",7236
"10014","green","24",4
"10014","uber","24",7546
"10014","green","25",6
"10014","uber","25",7237
"10014","green","26",2
"10014","uber","26",7504
"10014","green","27",2
"10014","uber","27",5042
"10014","green","28",1
"10014","uber","28",7839
"10014","green","29",3
"10014","uber","29",9138
"10014","green","30",2
"10014","uber","30",8837
"10014","green","31",1
"10014","uber","31",8725
"10014","green","32",3
"10014","uber","32",8042
"10014","green","33",5
"10014","uber","33",8218
"10014","green","34",3
"10014","uber","34",8069
"10014","green","35",3
"10014","uber","35",6974
"10014","green","36",1
"10014","uber","36",10419
"10014","uber","37",11045
"10014","uber","38",10981
"10014","uber","39",10005
"10014","uber","40",2250
"10016","green","14",2
"10016","uber","14",3735
"10016","green","15",1
"10016","uber","15",3970
"10016","green","16",6
"10016","uber","16",3580
"10016","green","17",8
"10016","uber","17",4476
"10016","green","18",4
"10016","uber","18",5341
"10016","green","19",7
"10016","uber","19",5117
"10016","green","20",11
"10016","uber","20",5293
"10016","green","21",7
"10016","uber","21",4911
"10016","green","22",9
"10016","uber","22",4550
"10016","green","23",3
"10016","uber","23",5922
"10016","green","24",1
"10016","uber","24",6072
"10016","green","25",2
"10016","uber","25",5515
"10016","green","26",3
"10016","uber","26",5464
"10016","green","27",4
"10016","uber","27",4207
"10016","green","28",5
"10016","uber","28",6584
"10016","green","29",7
"10016","uber","29",7067
"10016","green","30",4
"10016","uber","30",7179
"10016","green","31",13
"10016","uber","31",7285
"10016","green","32",9
"10016","uber","32",6988
"10016","green","33",3
"10016","uber","33",6792
"10016","green","34",3
"10016","uber","34",6143
"10016","green","35",1
"10016","uber","35",6019
"10016","uber","36",7831
"10016","uber","37",8507
"10016","green","38",2
"10016","uber","38",8991
"10016","uber","39",7820
"10016","uber","40",2136
"10017","uber","14",3585
"10017","green","15",6
"10017","uber","15",4295
"10017","green","16",5
"10017","uber","16",3684
"10017","green","17",7
"10017","uber","17",4424
"10017","uber","18",5453
"10017","green","19",6
"10017","uber","19",5019
"10017","green","20",5
"10017","uber","20",5182
"10017","green","21",5
"10017","uber","21",4899
"10017","green","22",6
"10017","uber","22",4503
"10017","green","23",3
"10017","uber","23",5176
"10017","green","24",4
"10017","uber","24",5831
"10017","green","25",9
"10017","uber","25",5579
"10017","green","26",3
"10017","uber","26",5633
"10017","green","27",3
"10017","uber","27",3872
"10017","green","28",7
"10017","uber","28",5747
"10017","green","29",6
"10017","uber","29",6656
"10017","green","30",5
"10017","uber","30",6584
"10017","green","31",1
"10017","uber","31",6479
"10017","green","32",4
"10017","uber","32",5988
"10017","green","33",4
"10017","uber","33",5930
"10017","green","34",6
"10017","uber","34",5271
"10017","green","35",2
"10017","uber","35",4781
"10017","green","36",1
"10017","uber","36",6409
"10017","green","37",2
"10017","uber","37",7293
"10017","green","38",1
"10017","uber","38",7730
"10017","uber","39",5796
"10017","uber","40",2225
"10018","uber","14",2749
"10018","green","15",2
"10018","uber","15",3061
"10018","green","16",6
"10018","uber","16",3031
"10018","green","17",2
"10018","uber","17",3612
"10018","green","18",1
"10018","uber","18",4071
"10018","green","19",7
"10018","uber","19",3945
"10018","green","20",2
"10018","uber","20",4333
"10018","green","21",4
"10018","uber","21",3778
"10018","green","22",2
"10018","uber","22",3381
"10018","green","23",1
"10018","uber","23",4114
"10018","green","24",1
"10018","uber","24",4402
"10018","green","25",2
"10018","uber","25",3895
"10018","green","26",1
"10018","uber","26",4252
"10018","green","27",7
"10018","uber","27",3269
"10018","green","28",4
"10018","uber","28",4393
"10018","uber","29",4870
"10018","green","30",1
"10018","uber","30",5333
"10018","green","31",4
"10018","uber","31",5057
"10018","green","32",2
"10018","uber","32",5249
"10018","green","33",1
"10018","uber","33",4781
"10018","green","34",2
"10018","uber","34",4702
"10018","green","35",2
"10018","uber","35",3798
"10018","green","36",1
"10018","uber","36",5403
"10018","uber","37",6598
"10018","uber","38",6800
"10018","green","39",1
"10018","uber","39",5199
"10018","uber","40",1709
"10019","green","14",3
"10019","uber","14",5817
"10019","green","15",9
"10019","uber","15",6623
"10019","green","16",5
"10019","uber","16",5730
"10019","green","17",9
"10019","uber","17",7252
"10019","green","18",13
"10019","uber","18",8853
"10019","green","19",6
"10019","uber","19",8137
"10019","green","20",8
"10019","uber","20",8289
"10019","green","21",6
"10019","uber","21",7635
"10019","green","22",2
"10019","uber","22",6789
"10019","green","23",10
"10019","uber","23",8067
"10019","green","24",6
"10019","uber","24",9387
"10019","green","25",5
"10019","uber","25",8390
"10019","green","26",12
"10019","uber","26",8799
"10019","green","27",8
"10019","uber","27",6499
"10019","green","28",12
"10019","uber","28",9117
"10019","green","29",6
"10019","uber","29",10676
"10019","green","30",8
"10019","uber","30",10443
"10019","green","31",4
