"zipcode","cab_type","pickup_hour","count"
"10017","green",9,9
"10017","green",10,9
"10017","green",11,6
"10017","green",12,3
"10017","green",13,9
"10017","green",14,3
"10017","green",15,6
"10017","green",16,8
"10017","green",17,4
"10017","green",18,7
"10017","green",19,6
"10017","green",20,6
"10017","green",21,5
"10017","green",22,3
"10017","green",23,2
"10017","uber",0,1352
"10017","uber",1,734
"10017","uber",2,485
"10017","uber",3,706
"10017","uber",4,748
"10017","uber",5,1179
"10017","uber",6,1933
"10017","uber",7,3052
"10017","uber",8,3388
"10017","uber",9,3580
"10017","uber",10,4652
"10017","uber",11,5244
"10017","uber",12,5404
"10017","uber",13,6619
"10017","uber",14,8364
"10017","uber",15,11507
"10017","uber",16,15166
"10017","uber",17,16599
"10017","uber",18,15404
"10017","uber",19,12859
"10017","uber",20,10590
"10017","uber",21,7398
"10017","uber",22,4523
"10017","uber",23,2538
"10018","green",0,6
"10018","green",1,2
"10018","green",6,3
"10018","green",7,1
"10018","green",8,1
"10018","green",9,1
"10018","green",10,5
"10018","green",11,6
"10018","green",12,2
"10018","green",13,5
"10018","green",14,1
"10018","green",15,2
"10018","green",16,1
"10018","green",17,1
"10018","green",18,3
"10018","green",19,3
"10018","green",21,3
"10018","green",22,8
"10018","green",23,2
"10018","uber",0,1805
"10018","uber",1,1081
"10018","uber",2,764
"10018","uber",3,757
"10018","uber",4,693
"10018","uber",5,891
"10018","uber",6,1548
"10018","uber",7,2705
"10018","uber",8,3142
"10018","uber",9,3246
"10018","uber",10,3780
"10018","uber",11,4572
"10018","uber",12,4753
"10018","uber",13,5603
"10018","uber",14,6803
"10018","uber",15,9012
"10018","uber",16,12197
"10018","uber",17,13275
"10018","uber",18,9860
"10018","uber",19,7779
"10018","uber",20,7019
"10018","uber",21,6608
"10018","uber",22,4933
"10018","uber",23,2959
"10019","green",0,12
"10019","green",1,3
"10019","green",2,4
"10019","green",3,1
"10019","green",4,1
"10019","green",5,1
"10019","green",6,3
"10019","green",7,1
"10019","green",8,9
"10019","green",9,5
"10019","green",10,7
"10019","green",11,8
"10019","green",12,7
"10019","green",13,7
"10019","green",14,8
"10019","green",15,6
"10019","green",16,10
"10019","green",17,7
"10019","green",18,9
"10019","green",19,14
"10019","green",20,8
"10019","green",21,6
"10019","green",22,11
"10019","green",23,11
"10019","uber",0,4125
"10019","uber",1,2583
"10019","uber",2,1830
"10019","uber",3,1987
"10019","uber",4,2104
"10019","uber",5,2781
"10019","uber",6,4336
"10019","uber",7,7030
"10019","uber",8,7777
"10019","uber",9,7425
"10019","uber",10,7615
"10019","uber",11,8160
"10019","uber",12,8604
"10019","uber",13,9716
"10019","uber",14,11151
"10019","uber",15,15473
"10019","uber",16,18506
"10019","uber",17,18315
"10019","uber",18,17249
"10019","uber",19,16433
"10019","uber",20,17646
"10019","uber",21,17398
"10019","uber",22,12372
"10019","uber",23,7458
"10020","green",2,2
"10020","green",4,1
"10020","green",13,1
"10020","green",14,2
"10020","green",16,2
"10020","uber",0,196
"10020","uber",1,109
"10020","uber",2,69
"10020","uber",3,64
"10020","uber",4,41
"10020","uber",5,33
"10020","uber",6,45
"10020","uber",7,75
"10020","uber",8,160
"10020","uber",9,212
"10020","uber",10,305
"10020","uber",11,417
"10020","uber",12,443
"10020","uber",13,603
"10020","uber",14,729
"10020","uber",15,1005
"10020","uber",16,1254
"10020","uber",17,1247
"10020","uber",18,1154
"10020","uber",19,1271
"10020","uber",20,1308
"10020","uber",21,1018
"10020","uber",22,704
"10020","uber",23,315
"10021","green",0,1
"10021","green",1,1
"10021","green",2,2
"10021","green",4,1
"10021","green",5,2
"10021","green",6,2
"10021","green",7,2
"10021","green",8,6
"10021","green",9,5
"10021","green",10,5
"10021","green",11,2
"10021","green",12,7
"10021","green",13,4
"10021","green",14,5
"10021","green",15,8
"10021","green",16,8
"10021","green",17,10
"10021","green",18,3
"10021","green",19,8
"10021","green",20,8
"10021","green",21,3
"10021","green",22,2
"10021","green",23,6
"10021","uber",0,629
"10021","uber",1,377
"10021","uber",2,291
"10021","uber",3,530
"10021","uber",4,741
"10021","uber",5,1468
"10021","uber",6,4160
"10021","uber",7,6440
"10021","uber",8,5543
"10021","uber",9,4258
"10021","uber",10,4035
"10021","uber",11,3956
"10021","uber",12,3753
"10021","uber",13,4244
"10021","uber",14,5046
"10021","uber",15,6425
"10021","uber",16,6603
"10021","uber",17,6543
"10021","uber",18,6272
"10021","uber",19,4700
"10021","uber",20,3564
"10021","uber",21,2934
"10021","uber",22,2089
"10021","uber",23,1210
"10022","green",0,5
"10022","green",1,1
"10022","green",2,2
"10022","green",3,1
"10022","green",4,1
"10022","green",5,3
"10022","green",6,3
"10022","green",7,2
"10022","green",8,2
"10022","green",9,11
"10022","green",10,17
"10022","green",11,10
"10022","green",12,2
"10022","green",13,6
"10022","green",14,12
"10022","green",15,7
"10022","green",16,2
"10022","green",17,9
"10022","green",18,9
"10022","green",19,13
"10022","green",20,2
"10022","green",21,8
"10022","green",22,6
"10022","green",23,10
"10022","uber",0,2580
"10022","uber",1,1568
"10022","uber",2,1080
"10022","uber",3,1103
"10022","uber",4,1134
"10022","uber",5,1772
"10022","uber",6,3087
"10022","uber",7,4573
"10022","uber",8,5244
"10022","uber",9,5755
"10022","uber",10,6809
"10022","uber",11,7569
"10022","uber",12,8118
"10022","uber",13,9623
"10022","uber",14,12261
"10022","uber",15,17233
"10022","uber",16,20803
"10022","uber",17,23056
"10022","uber",18,20900
"10022","uber",19,18171
"10022","uber",20,14933
"10022","uber",21,10610
"10022","uber",22,7347
"10022","uber",23,4558
"10023","green",0,3
"10023","green",1,2
"10023","green",2,6
"10023","green",3,1
"10023","green",4,2
"10023","green",5,2
"10023","green",6,2
"10023","green",8,2
"10023","green",9,13
"10023","green",10,5
"10023","green",11,11
"10023","green",12,8
"10023","green",13,12
"10023","green",14,7
"10023","green",15,13
"10023","green",16,9
"10023","green",17,12
"10023","green",18,12
"10023","green",19,9
"10023","green",20,11
"10023","green",21,7
"10023","green",22,5
"10023","green",23,6
"10023","uber",0,895
"10023","uber",1,501
"10023","uber",2,422
"10023","uber",3,831
"10023","uber",4,1291
"10023","uber",5,2171
"10023","uber",6,4725
"10023","uber",7,6625
"10023","uber",8,6290
"10023","uber",9,4568
"10023","uber",10,3960
"10023","uber",11,3722
"10023","uber",12,3550
"10023","uber",13,3933
"10023","uber",14,4356
"10023","uber",15,5399
"10023","uber",16,6061
"10023","uber",17,5976
"10023","uber",18,5945
"10023","uber",19,4698
"10023","uber",20,4644
"10023","uber",21,4968
"10023","uber",22,3716
"10023","uber",23,1868
"10024","green",0,20
"10024","green",1,19
"10024","green",2,7
"10024","green",3,8
"10024","green",4,8
"10024","green",5,15
"10024","green",6,22
"10024","green",7,49
"10024","green",8,94
"10024","green",9,111
"10024","green",10,73
"10024","green",11,101
"10024","green",12,90
"10024","green",13,76
"10024","green",14,87
"10024","green",15,92
"10024","green",16,78
"10024","green",17,92
"10024","green",18,79
"10024","green",19,77
"10024","green",20,61
"10024","green",21,50
"10024","green",22,32
"10024","green",23,33
"10024","uber",0,667
"10024","uber",1,407
"10024","uber",2,305
"10024","uber",3,644
"10024","uber",4,978
"10024","uber",5,2275
"10024","uber",6,5429
"10024","uber",7,7057
"10024","uber",8,5915
"10024","uber",9,3817
"10024","uber",10,2804
"10024","uber",11,2753
"10024","uber",12,2529
"10024","uber",13,2934
"10024","uber",14,3286
"10024","uber",15,3603
"10024","uber",16,3888
"10024","uber",17,4015
"10024","uber",18,3641
"10024","uber",19,2916
"10024","uber",20,2789
"10024","uber",21,2613
"10024","uber",22,2204
